"id","lyric","title","description"
58,"Well, I was born a coal miner's daughter
In a cabin on a hill in Butcher Holler
We were poor, but we had love
That's the one thing that Daddy made sure of
He shoveled coal to make a poor man's dollar.
My Daddy worked all night in the Vanleer coal mines
All day long in the field a-hoin' corn
Mommy rocked the babies at night
And read the Bible by the coal-oil light
And ever'thing would start all over come break of morn'.
Daddy loved and raised eight kids on a miner's pay
Mommy scrubbed our clothes on a washboard ever' day
Why, I've seen her fingers bleed
To complain there was no need
She'd smile in Mommy's understanding way.
In the summertime we didn't have shoes to wear
But in the wintertime we'd all get a brand new pair
From a mail order catalog
Money made from sellin' a hog
Daddy always managed to get the money somewhere.
Yeah, I'm proud to be a coal miner's daughter
I remember well - the well where I drew water
The work we done was hard
At night we'd sleep 'cause we worked hard
I never thought of ever leaving Butcher Holler.
Well, a lot of things have changed since way back then
And it's so good to be back home again
Not much left but the floor
Nothing lives here anymore
Except the mem'ries of a coal miner's daughter.
", Coal Miner's Daughter ,Poverty
58,"Well, I was born a coal miner's daughter
In a cabin on a hill in Butcher Holler
We were poor, but we had love
That's the one thing that Daddy made sure of
He shoveled coal to make a poor man's dollar.
My Daddy worked all night in the Vanleer coal mines
All day long in the field a-hoin' corn
Mommy rocked the babies at night
And read the Bible by the coal-oil light
And ever'thing would start all over come break of morn'.
Daddy loved and raised eight kids on a miner's pay
Mommy scrubbed our clothes on a washboard ever' day
Why, I've seen her fingers bleed
To complain there was no need
She'd smile in Mommy's understanding way.
In the summertime we didn't have shoes to wear
But in the wintertime we'd all get a brand new pair
From a mail order catalog
Money made from sellin' a hog
Daddy always managed to get the money somewhere.
Yeah, I'm proud to be a coal miner's daughter
I remember well - the well where I drew water
The work we done was hard
At night we'd sleep 'cause we worked hard
I never thought of ever leaving Butcher Holler.
Well, a lot of things have changed since way back then
And it's so good to be back home again
Not much left but the floor
Nothing lives here anymore
Except the mem'ries of a coal miner's daughter.
", Coal Miner's Daughter ,Family
58,"Well, I was born a coal miner's daughter
In a cabin on a hill in Butcher Holler
We were poor, but we had love
That's the one thing that Daddy made sure of
He shoveled coal to make a poor man's dollar.
My Daddy worked all night in the Vanleer coal mines
All day long in the field a-hoin' corn
Mommy rocked the babies at night
And read the Bible by the coal-oil light
And ever'thing would start all over come break of morn'.
Daddy loved and raised eight kids on a miner's pay
Mommy scrubbed our clothes on a washboard ever' day
Why, I've seen her fingers bleed
To complain there was no need
She'd smile in Mommy's understanding way.
In the summertime we didn't have shoes to wear
But in the wintertime we'd all get a brand new pair
From a mail order catalog
Money made from sellin' a hog
Daddy always managed to get the money somewhere.
Yeah, I'm proud to be a coal miner's daughter
I remember well - the well where I drew water
The work we done was hard
At night we'd sleep 'cause we worked hard
I never thought of ever leaving Butcher Holler.
Well, a lot of things have changed since way back then
And it's so good to be back home again
Not much left but the floor
Nothing lives here anymore
Except the mem'ries of a coal miner's daughter.
", Coal Miner's Daughter ,Servitude
59,"He looked down into her brown eyes and said,? Say a prayer for me?
She threw her arms around him whispered,? God will keep us free?
They could hear the riders coming he said, This is my last fight
If they take me back to Texas they won't take me back alive
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
She reached down and picked the gun up that lay smokin' in his hand
She said,? Father please forgive me I can't make it without my man?
And she knew the gun was empty and she knew she couldn't win
But her final prayer was answered when the rifles fired again
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
Alright John help me now
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
", Seven Spanish Angels ,God
59,"He looked down into her brown eyes and said,? Say a prayer for me?
She threw her arms around him whispered,? God will keep us free?
They could hear the riders coming he said, This is my last fight
If they take me back to Texas they won't take me back alive
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
She reached down and picked the gun up that lay smokin' in his hand
She said,? Father please forgive me I can't make it without my man?
And she knew the gun was empty and she knew she couldn't win
But her final prayer was answered when the rifles fired again
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
Alright John help me now
There were seven Spanish angels at the alter of the sun
They were praying for the lovers in the valley of the guns
When the battle stopped and the smoke cleared
There was thunder from the throne
And seven Spanish angels took another angel home
", Seven Spanish Angels ,Love
60,"She works in a bank and she works in a store
And she don't go for that old stuff anymore
She likes to get high and listen to the band
She likes to make love to her kind of man
These outlaw women first of their kind outlaw women they got you right on time
Outlaw women don't need any guns outlaw women just out of fun
In a way she's a lot like me she don't give a damn bout society
Might be little rich girl she might be poor
Might be a married woman that needs a little more
Yeah she's a outlaw woman first of the kind
These outlaw women ridin' high in seventy-nine
These outlaw women don't need any guns these outlaw women just out of fun
", Outlaw Women ,Drugs
60,"She works in a bank and she works in a store
And she don't go for that old stuff anymore
She likes to get high and listen to the band
She likes to make love to her kind of man
These outlaw women first of their kind outlaw women they got you right on time
Outlaw women don't need any guns outlaw women just out of fun
In a way she's a lot like me she don't give a damn bout society
Might be little rich girl she might be poor
Might be a married woman that needs a little more
Yeah she's a outlaw woman first of the kind
These outlaw women ridin' high in seventy-nine
These outlaw women don't need any guns these outlaw women just out of fun
", Outlaw Women ,Feminism
60,"She works in a bank and she works in a store
And she don't go for that old stuff anymore
She likes to get high and listen to the band
She likes to make love to her kind of man
These outlaw women first of their kind outlaw women they got you right on time
Outlaw women don't need any guns outlaw women just out of fun
In a way she's a lot like me she don't give a damn bout society
Might be little rich girl she might be poor
Might be a married woman that needs a little more
Yeah she's a outlaw woman first of the kind
These outlaw women ridin' high in seventy-nine
These outlaw women don't need any guns these outlaw women just out of fun
", Outlaw Women ,Party
61,"Got to hold on easy as I let you go,
gonna tell you how much I love,
though you think you already know,
I remeber I thought you looked like an angel,
wrapped in pink so soft and warm,
you had me wrapped around your finger,
since the day you were born.
You beautiful baby from the outside in,
Chase your dreams but always know the road
that'll lead you home again,
Go on, take on this whole world,
But to me you know you'll always be,
My Little Girl
When you were in trouble that crooked little smile,
could melt my heart of stone,
Now look at you, I've turned around,
and you've almost grown,
Sometimes you're asleep I whisper I Love You!,
in the moonlight at your door,
As I walk away, I hear you say,
Daddy Love You More!.
You're beautiful baby from the outside in.
Chase your dreams but always know the road,
that'll lead you home again
Go on, take on this whole world.
But to me you know you'll always be,
my little girl.
Someday, some boy will come and ask me for your hand.
But I won't say yes to him unless I know, he's the half
that makes you whole, he has a poet's soul, and the heart of a man's man.
I know he'll say that he's in love.
But between you and me. He won't be good enough!
You're beautiful baby from the outside in.
Chase your dreams but always know the road
that'll lead you home again.
Go on, take on this whole world.
But to me you know you'll always be,
my little girl!
", My Little Girl ,Future
61,"Got to hold on easy as I let you go,
gonna tell you how much I love,
though you think you already know,
I remeber I thought you looked like an angel,
wrapped in pink so soft and warm,
you had me wrapped around your finger,
since the day you were born.
You beautiful baby from the outside in,
Chase your dreams but always know the road
that'll lead you home again,
Go on, take on this whole world,
But to me you know you'll always be,
My Little Girl
When you were in trouble that crooked little smile,
could melt my heart of stone,
Now look at you, I've turned around,
and you've almost grown,
Sometimes you're asleep I whisper I Love You!,
in the moonlight at your door,
As I walk away, I hear you say,
Daddy Love You More!.
You're beautiful baby from the outside in.
Chase your dreams but always know the road,
that'll lead you home again
Go on, take on this whole world.
But to me you know you'll always be,
my little girl.
Someday, some boy will come and ask me for your hand.
But I won't say yes to him unless I know, he's the half
that makes you whole, he has a poet's soul, and the heart of a man's man.
I know he'll say that he's in love.
But between you and me. He won't be good enough!
You're beautiful baby from the outside in.
Chase your dreams but always know the road
that'll lead you home again.
Go on, take on this whole world.
But to me you know you'll always be,
my little girl!
", My Little Girl ,Love
61,"Got to hold on easy as I let you go,
gonna tell you how much I love,
though you think you already know,
I remeber I thought you looked like an angel,
wrapped in pink so soft and warm,
you had me wrapped around your finger,
since the day you were born.
You beautiful baby from the outside in,
Chase your dreams but always know the road
that'll lead you home again,
Go on, take on this whole world,
But to me you know you'll always be,
My Little Girl
When you were in trouble that crooked little smile,
could melt my heart of stone,
Now look at you, I've turned around,
and you've almost grown,
Sometimes you're asleep I whisper I Love You!,
in the moonlight at your door,
As I walk away, I hear you say,
Daddy Love You More!.
You're beautiful baby from the outside in.
Chase your dreams but always know the road,
that'll lead you home again
Go on, take on this whole world.
But to me you know you'll always be,
my little girl.
Someday, some boy will come and ask me for your hand.
But I won't say yes to him unless I know, he's the half
that makes you whole, he has a poet's soul, and the heart of a man's man.
I know he'll say that he's in love.
But between you and me. He won't be good enough!
You're beautiful baby from the outside in.
Chase your dreams but always know the road
that'll lead you home again.
Go on, take on this whole world.
But to me you know you'll always be,
my little girl!
", My Little Girl ,Family
62,"I wandered so aimless life filed with sin
I wouldn't let my dear savior in
Then Jesus came like a stranger in the night
Praise the lord I saw the light.
I saw the light I saw the light
No more darkness no more night
Now I'm so happy no sorrow in sight
Praise the lord I saw the light.
Just like a blind man I wandered along
Worries and fears I claimed for my own
Then like the blind man that god gave back his sight
Praise the lord I saw the light.
I was a fool to wander and astray
Straight is the gate and narrow the way
Now I have traded the wrong for the right
Praise the lord I saw the light.
", I Saw The Light ,God
62,"I wandered so aimless life filed with sin
I wouldn't let my dear savior in
Then Jesus came like a stranger in the night
Praise the lord I saw the light.
I saw the light I saw the light
No more darkness no more night
Now I'm so happy no sorrow in sight
Praise the lord I saw the light.
Just like a blind man I wandered along
Worries and fears I claimed for my own
Then like the blind man that god gave back his sight
Praise the lord I saw the light.
I was a fool to wander and astray
Straight is the gate and narrow the way
Now I have traded the wrong for the right
Praise the lord I saw the light.
", I Saw The Light ,Servitude
62,"I wandered so aimless life filed with sin
I wouldn't let my dear savior in
Then Jesus came like a stranger in the night
Praise the lord I saw the light.
I saw the light I saw the light
No more darkness no more night
Now I'm so happy no sorrow in sight
Praise the lord I saw the light.
Just like a blind man I wandered along
Worries and fears I claimed for my own
Then like the blind man that god gave back his sight
Praise the lord I saw the light.
I was a fool to wander and astray
Straight is the gate and narrow the way
Now I have traded the wrong for the right
Praise the lord I saw the light.
", I Saw The Light ,Fear
63,"Well I'm shamemeless when it comes to loving you
I'll do anything you want me to
I'll do anything at all
And I'm standing here for all the world to see
Oh baby that's what's left of me
Don't have very far to fall
You know now I'm not a man who's ever been
Insecure about the world I've been livin' in
I don't break easy I have my pride
But if you need to be satisfied
I'm shameless, oh honey I don't have a prayer
Every time I see you standin' there
I go down upon my knees
And I'm changin' swore I'd never compromise
Oh but you convinced me otherwise
I'll do anything you please
You see in all my life I've never found
What I couldn't resist what I couldn't turn down
I could walk away from anyone I ever knew
But I can't walk away from you
I have never let anything have this much control over me
I work too hard to call my life my own
And I've made myself a world and it's worked so perfectly
But it's your world now I can't refuse
I've never had so much to lose
Oh I'm shameless
You know it should be easy for a man who's strong
To say he's sorry or admit when he's wrong
I've never lost anything I've ever missed
But I've never been in love like this
It's out of my hands
I'm shameless, I don't have the power now
I don't want it anyhow
So I got to let it go
Oh I'm shameless, shameless as a man can be
You make a total fool of me
I just wanted to you to know
Oh I'm shameless
I just wanted you to know
Oh I'm shameless
Oh I'm down on my knees... shameless
", Shameless ,Servitude
63,"Well I'm shamemeless when it comes to loving you
I'll do anything you want me to
I'll do anything at all
And I'm standing here for all the world to see
Oh baby that's what's left of me
Don't have very far to fall
You know now I'm not a man who's ever been
Insecure about the world I've been livin' in
I don't break easy I have my pride
But if you need to be satisfied
I'm shameless, oh honey I don't have a prayer
Every time I see you standin' there
I go down upon my knees
And I'm changin' swore I'd never compromise
Oh but you convinced me otherwise
I'll do anything you please
You see in all my life I've never found
What I couldn't resist what I couldn't turn down
I could walk away from anyone I ever knew
But I can't walk away from you
I have never let anything have this much control over me
I work too hard to call my life my own
And I've made myself a world and it's worked so perfectly
But it's your world now I can't refuse
I've never had so much to lose
Oh I'm shameless
You know it should be easy for a man who's strong
To say he's sorry or admit when he's wrong
I've never lost anything I've ever missed
But I've never been in love like this
It's out of my hands
I'm shameless, I don't have the power now
I don't want it anyhow
So I got to let it go
Oh I'm shameless, shameless as a man can be
You make a total fool of me
I just wanted to you to know
Oh I'm shameless
I just wanted you to know
Oh I'm shameless
Oh I'm down on my knees... shameless
", Shameless ,Love
64,"As I kneel before you,
As I bow my head in prayer,
Take this day, make it yours
and fill me with your love.
Refrain:
Ave Maria,
Gratia plena,
Dominus tecum,
Benedicta tu.
All I have I give you,
Every dream and wish are yours,
Mother of Christ,
Mother of mine, present them to my Lord.
(Repeat Refrain)
As I kneel before you,
And I see your smiling face
Ev'ry thought, ev'ry word
Is lost in your embrace.
(Repeat Refrain)
", As I Kneel Before You ,Religion
64,"As I kneel before you,
As I bow my head in prayer,
Take this day, make it yours
and fill me with your love.
Refrain:
Ave Maria,
Gratia plena,
Dominus tecum,
Benedicta tu.
All I have I give you,
Every dream and wish are yours,
Mother of Christ,
Mother of mine, present them to my Lord.
(Repeat Refrain)
As I kneel before you,
And I see your smiling face
Ev'ry thought, ev'ry word
Is lost in your embrace.
(Repeat Refrain)
", As I Kneel Before You ,Love
64,"As I kneel before you,
As I bow my head in prayer,
Take this day, make it yours
and fill me with your love.
Refrain:
Ave Maria,
Gratia plena,
Dominus tecum,
Benedicta tu.
All I have I give you,
Every dream and wish are yours,
Mother of Christ,
Mother of mine, present them to my Lord.
(Repeat Refrain)
As I kneel before you,
And I see your smiling face
Ev'ry thought, ev'ry word
Is lost in your embrace.
(Repeat Refrain)
", As I Kneel Before You ,God
64,"As I kneel before you,
As I bow my head in prayer,
Take this day, make it yours
and fill me with your love.
Refrain:
Ave Maria,
Gratia plena,
Dominus tecum,
Benedicta tu.
All I have I give you,
Every dream and wish are yours,
Mother of Christ,
Mother of mine, present them to my Lord.
(Repeat Refrain)
As I kneel before you,
And I see your smiling face
Ev'ry thought, ev'ry word
Is lost in your embrace.
(Repeat Refrain)
", As I Kneel Before You ,Family
66,"Oh darlin, darlin
What have I done?
Well I've been away from you too long
And all my days have turned to darkness
And I believe my heart has turned to stone
Oh darlin, darlin
What have I done?
Now I don't say anything at all
Well God don't listen to the noise
Now I'm left here all alone
Ooh, oh, I hear what the neighbors say
That that poor boy has lost his way
And I let the others pray
Oh darlin, darlin
What have I done?
Now I do my talking with a gun
And blood will spill into the gutters
And it will stain the morning sun
Ooh, oh tell me what the hell I've done
Can I stop at one?
Or have I just begun?
Take out the bodies that live
Oh, Lord, it gets me high
I think I'm gonna get my fill
Of taking lives
Oh, Lord, I don't wanna let my baby down
Well I just wanna give us something one of a kind
Oh darlin, darlin
What have I done?
I've been a stray from you too long
And all my days have turned to darkness
Hell is leaving the light on
And ooh, oh they'll hang me way up high
God himself will drop me from the sky
And let me swing a while
Oh darlin, darlin
What have I done?
What have I done?
", Oh Darlin' What Have I Done ,Loneliness
66,"Oh darlin, darlin
What have I done?
Well I've been away from you too long
And all my days have turned to darkness
And I believe my heart has turned to stone
Oh darlin, darlin
What have I done?
Now I don't say anything at all
Well God don't listen to the noise
Now I'm left here all alone
Ooh, oh, I hear what the neighbors say
That that poor boy has lost his way
And I let the others pray
Oh darlin, darlin
What have I done?
Now I do my talking with a gun
And blood will spill into the gutters
And it will stain the morning sun
Ooh, oh tell me what the hell I've done
Can I stop at one?
Or have I just begun?
Take out the bodies that live
Oh, Lord, it gets me high
I think I'm gonna get my fill
Of taking lives
Oh, Lord, I don't wanna let my baby down
Well I just wanna give us something one of a kind
Oh darlin, darlin
What have I done?
I've been a stray from you too long
And all my days have turned to darkness
Hell is leaving the light on
And ooh, oh they'll hang me way up high
God himself will drop me from the sky
And let me swing a while
Oh darlin, darlin
What have I done?
What have I done?
", Oh Darlin' What Have I Done ,Drugs
66,"Oh darlin, darlin
What have I done?
Well I've been away from you too long
And all my days have turned to darkness
And I believe my heart has turned to stone
Oh darlin, darlin
What have I done?
Now I don't say anything at all
Well God don't listen to the noise
Now I'm left here all alone
Ooh, oh, I hear what the neighbors say
That that poor boy has lost his way
And I let the others pray
Oh darlin, darlin
What have I done?
Now I do my talking with a gun
And blood will spill into the gutters
And it will stain the morning sun
Ooh, oh tell me what the hell I've done
Can I stop at one?
Or have I just begun?
Take out the bodies that live
Oh, Lord, it gets me high
I think I'm gonna get my fill
Of taking lives
Oh, Lord, I don't wanna let my baby down
Well I just wanna give us something one of a kind
Oh darlin, darlin
What have I done?
I've been a stray from you too long
And all my days have turned to darkness
Hell is leaving the light on
And ooh, oh they'll hang me way up high
God himself will drop me from the sky
And let me swing a while
Oh darlin, darlin
What have I done?
What have I done?
", Oh Darlin' What Have I Done ,Depression
69,"If I die young bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
Uh oh uh oh
Lord make me a rainbow, I'll shine down on my mother
She'll know I'm safe with you when she stands under my colours, oh and
Life ain't always what you think it oughta be, no
Ain't even grey, but she buries her baby
The sharp knife of a short life well
I've had just enough time
If I die young bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
The sharp knife of a short life well
I've had just enough time
And I'll be wearing white, when I come into your kingdom
I'm as green as the ring on my little cold finger, I've never known the lovin' of a man,
But it sure felt nice when he was holding my hand
There's a boy here in town says he'll love me forever
Who would have thought forever could be severed by
The sharp knife of a short life well
I've had just enough time
So put on your best boys and I'll wear my pearls
What I never did is done
A penny for my thoughts, oh no I'll sell them for a dollar
They're worth so much more after I'm a goner
And maybe then you'll hear the words I been singing
Funny when you're dead how people start listenin'
If I die young bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
Uh oh (uh oh)
The ballad of a dove
Go with peace and love
Gather up your tears, keep 'em in your pocket
Save 'em for a time when your really gonna need 'em oh
The sharp knife of a short life well
I've had just enough time
So put on your best boys, and I'll wear my pearls
", If I Die Young ,Depression
